contract_id,player_id,age,service_time,contract_year,duration,value,contract_type,position,stats_year,stats_window,bat_games,bat_plate_appearances,bat_at_bats,bat_hits,bat_doubles,bat_triples,bat_home_runs,bat_runs,bat_rbis,bat_stolen_bases,bat_caught_stealing,bat_walks,bat_strikeouts,bat_batting_avg,bat_on_base_pct,bat_slugging_pct,bat_ops,bat_wrc_plus,bat_war,bat_babip,bat_iso,bat_bb_pct,bat_k_pct,bat_hard_hit_pct,bat_barrel_pct,pit_games,pit_games_started,pit_innings_pitched,pit_wins,pit_losses,pit_saves,pit_holds,pit_strikeouts,pit_walks,pit_hits_allowed,pit_home_runs_allowed,pit_era,pit_whip,pit_k_per_9,pit_bb_per_9,pit_fip,pit_xfip,pit_siera,pit_war,pit_k_pct,pit_bb_pct,pit_k_bb_ratio,pit_ground_ball_pct,pit_fly_ball_pct,pit_hard_hit_pct
Milner_21335_2019,Milner_21335,28,0.146,2019,1,0.555,pre-arb,RP,2018,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,14,0,7.1,0,0,0,1,8,5,9,3,7.36,1.91,9.82,6.14,8.75,6.14,4.78,-0.4,0.21100000000000002,0.132,1.6,0.33299999999999996,0.5,0.45799999999999996
Ynoa_28152_2019,Ynoa_28152,21,0.0,2019,1,0.555,pre-arb,SP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arteaga_28792_2019,Arteaga_28792,25,0.0,2019,1,0.555,pre-arb,SS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey_18492_2019,Harvey_18492,24,0.003,2019,1,0.555,pre-arb,SP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood_21173_2019,Wood_21173,25,0.104,2019,1,0.555,pre-arb,SP,2018,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,29,8,41.0,1,1,0,4,42,18,42,4,3.73,1.46,9.22,3.95,3.7,3.92,3.98,0.5,0.235,0.10099999999999999,2.33,0.444,0.316,0.26899999999999996
Gibaut_28159_2019,Gibaut_28159,25,0.0,2019,1,0.555,pre-arb,RP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miller_28967_2019,Miller_28967,27,0.0,2019,1,0.555,pre-arb,CF,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vargas_21180_2019,Vargas_21180,27,0.055,2019,1,0.555,pre-arb,SS,2018,1,14,20,19,4,0,0,1,2,4,1,0,1,4,0.211,0.25,0.368,0.618,63.0,0.0,0.214,0.158,0.05,0.2,0.267,0.067,,,,,,,,,,,,,,,,,,,,,,,,,
Diaz_28177_2019,Diaz_28177,23,0.0,2019,1,0.555,pre-arb,SS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammer_30120_2019,Hammer_30120,24,0.0,2019,1,0.555,pre-arb,P,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford_24452_2019,Crawford_24452,24,1.02,2019,1,0.555,pre-arb,SS,2018,1,49,138,117,25,6,3,3,17,12,2,0,13,37,0.214,0.319,0.393,0.712,95.0,0.2,0.286,0.179,0.094,0.268,0.337,0.048,,,,,,,,,,,,,,,,,,,,,,,,,
Chargois_18412_2019,Chargois_18412,28,1.062,2019,1,0.555,pre-arb,RP,2018,1,39,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,32.1,2,4,0,7,40,15,26,4,3.34,1.27,11.13,4.18,3.87,2.98,3.05,0.1,0.29600000000000004,0.111,2.67,0.618,0.184,0.321
Brubaker_28185_2019,Brubaker_28185,25,5.0,2019,1,0.555,pre-arb,SP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield_28868_2019,Mayfield_28868,28,0.0,2019,1,0.555,pre-arb,2B,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephens_21167_2019,Stephens_21167,25,1.0,2019,1,0.555,pre-arb,RP,2018,1,29,3,2,0,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,37.0,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,1.0,0.0,29,0,38.1,2,3,0,0,33,15,50,7,4.93,1.7,7.75,3.52,5.22,4.57,4.33,-0.2,0.18,0.08199999999999999,2.2,0.37,0.315,0.295
Nottingham_24580_2019,Nottingham_24580,24,0.054,2019,1,0.555,pre-arb,C,2018,1,9,24,20,4,1,0,0,2,0,0,0,4,8,0.2,0.333,0.25,0.583,70.0,0.0,0.333,0.05,0.16699999999999998,0.33299999999999996,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rhame_21175_2019,Rhame_21175,26,0.139,2019,1,0.555,pre-arb,RP,2018,1,30,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,1.0,,,30,0,32.1,1,2,1,2,28,8,38,8,5.85,1.42,7.79,2.23,5.48,5.12,4.25,-0.3,0.2,0.057,3.5,0.27699999999999997,0.5539999999999999,0.33
Waguespack_28190_2019,Waguespack_28190,25,0.0,2019,1,0.555,pre-arb,SP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webb_28151_2019,Webb_28151,25,0.0,2019,1,0.555,pre-arb,RP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schultz_21196_2019,Schultz_21196,28,0.069,2019,1,0.555,pre-arb,RP,2018,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,22,1,30.1,2,2,0,2,35,17,18,6,5.64,1.15,10.38,5.04,5.4,5.01,4.09,-0.2,0.28,0.136,2.06,0.29,0.58,0.4
